City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Praia da Vitória,40,PT,1584113561,68,38.73,-27.07,64.4,9.73
Alyangula,99,AU,1584113561,94,-13.85,136.42,77.0,4.43
High Level,20,CA,1584113561,74,58.52,-117.14,-22.0,2.24
Agadez,0,NE,1584113561,10,19.75,10.25,79.25,8.46
Provincia di Campobasso,92,IT,1584113562,74,41.63,14.58,64.99,6.38
Rāichūr,7,IN,1584113562,26,16.2,77.37,86.63,9.53
Palmeira,0,BR,1584113562,43,-25.43,-50.01,84.11,2.33
Puro,0,PH,1584113562,80,12.48,123.38,77.99,6.58
Pangnirtung,20,CA,1584113562,68,66.15,-65.71,-18.4,5.41
Huntington,75,US,1584113278,54,38.42,-82.45,57.2,11.41
Havelock,75,US,1584113563,64,34.88,-76.9,78.01,11.41
Tautira,1,PF,1584113413,83,-17.73,-149.15,77.0,4.7
Nelson,5,NZ,1584113563,89,-41.28,173.28,53.01,3.74
Magadan,76,RU,1584113563,71,59.57,150.8,-5.35,15.19
Makkah al Mukarramah,100,SA,1584113116,39,21.43,39.83,81.05,17.54
Sørland,40,NO,1584113226,73,67.67,12.69,24.8,14.99
Duki,1,PK,1584113564,47,30.15,68.57,56.39,7.92
Qaryat Sulūq,0,LY,1584113564,51,31.67,20.25,65.75,19.66
Surazh,58,RU,1584113564,59,53.02,32.39,43.07,14.12
Zhezkazgan,19,KZ,1584113657,92,47.8,67.71,24.8,6.71
Rexburg,1,US,1584113412,78,43.83,-111.79,24.8,4.7
Ajdabiya,0,LY,1584113657,79,30.76,20.23,61.43,20.24
Roald,40,NO,1584113565,54,62.58,6.13,32.0,10.29
Ondangwa,77,NA,1584113565,25,-17.92,15.95,98.6,3.36
Esim,84,GH,1584113565,71,4.87,-2.24,86.27,6.08
Poum,100,NC,1584113201,80,-20.23,164.02,82.85,14.5
Xai-Xai,33,MZ,1584113658,65,-25.05,33.64,82.31,9.06
Lerwick,75,GB,1584113269,48,60.15,-1.15,39.2,2.28
Bossangoa,100,CF,1584113566,7,6.49,17.46,98.69,4.29
Souillac,75,MU,1584113566,100,-20.52,57.52,73.4,11.95
Torbay,40,CA,1584113102,58,47.67,-52.73,30.0,16.11
Blackfoot,20,US,1584113566,79,43.19,-112.34,28.99,6.31
Hong Kong,40,HK,1584113453,88,22.29,114.16,75.99,13.87
Northam,20,GB,1584113567,71,51.03,-4.22,50.0,10.29
Manokwari,100,ID,1584113039,88,-0.87,134.08,73.13,6.15
Thessalon,90,CA,1584113567,69,46.25,-83.57,33.8,6.93
Quelimane,20,MZ,1584113567,70,-17.88,36.89,86.0,8.05
Klenovyy,23,UA,1584113567,59,48.12,39.46,53.15,13.53
Qingyuan,90,CN,1584113538,88,23.7,113.03,64.4,11.18
Pochutla,5,MX,1584113660,69,15.74,-96.47,86.0,5.3
Cantavir,100,RS,1584113568,67,45.92,19.76,47.39,17.02
Snåase,75,NO,1584113568,68,64.25,12.38,26.6,4.7
Hamilton,1,US,1584113660,61,39.18,-84.53,50.0,9.17
Antofagasta,20,CL,1584113364,68,-23.65,-70.4,72.0,8.05
Cayenne,40,GF,1584113203,55,4.93,-52.33,87.8,10.29
Atar,0,MR,1584113661,4,20.52,-13.05,90.77,3.67
Henties Bay,0,NA,1584113661,87,-22.12,14.28,66.99,5.01
Sungai Penuh,98,ID,1584113569,98,-2.08,101.38,64.85,1.77
Llanes,48,ES,1584113569,77,43.42,-4.75,57.0,1.01
Yambio,99,SS,1584113569,53,4.57,28.4,86.09,3.6
San Fernando del Valle de Catamarca,55,AR,1584113570,53,-28.47,-65.79,91.99,8.01
Rovaniemi,100,FI,1584113570,57,66.5,25.72,19.4,13.87
Otane,0,NZ,1584113570,92,-39.88,176.63,51.01,1.72
Buala,100,SB,1584113662,85,-8.14,159.59,80.15,8.61
Thunder Bay,90,CA,1584112884,73,48.4,-89.32,26.6,24.16
Honiara,40,SB,1584113570,100,-9.43,159.95,75.2,2.04
Macapá,75,BR,1584113570,70,0.04,-51.07,87.8,9.17
Port Lincoln,39,AU,1584113651,69,-34.73,135.87,58.19,21.34
Puerto Madero,5,MX,1584113571,66,14.72,-92.42,86.0,5.82
Amahai,100,ID,1584113571,74,-3.33,128.92,83.75,6.6
Pitalito,100,CO,1584113321,63,1.85,-76.05,74.75,2.35
North Bend,40,US,1584113073,100,43.41,-124.22,36.0,6.93
Bonavista,0,CA,1584113663,60,48.65,-53.11,26.01,13.0
Yorba Linda,90,US,1584113531,93,33.89,-117.81,57.0,4.7
Tolaga Bay,42,NZ,1584113572,69,-38.37,178.3,64.13,10.09
Butembo,97,CD,1584113572,95,0.15,29.28,65.75,1.19
Havøysund,40,NO,1584113257,72,71.0,24.66,17.6,18.34
Port-Gentil,20,GA,1584113206,70,-0.72,8.78,89.6,11.41
Wanaka,0,NZ,1584113572,77,-44.7,169.15,40.37,7.99
Tynda,100,RU,1584113573,93,55.17,124.72,2.75,1.48
Boueni,100,YT,1584113573,74,-12.9,45.08,86.0,3.36
Taltal,78,CL,1584113573,72,-25.4,-70.48,67.55,7.54
Pozo Colorado,3,PY,1584113573,26,-23.49,-58.8,102.65,8.19
Kibala,34,TD,1584113573,8,9.11,18.35,96.8,4.7
Kailua,20,US,1584113304,78,21.4,-157.74,73.4,6.93
Trenggalek,100,ID,1584113374,97,-8.05,111.72,72.05,2.35
Broken Hill,0,AU,1584113666,59,-31.95,141.43,64.4,24.16
Pasni,0,PK,1584113202,16,25.26,63.47,75.11,6.26
Westport,90,US,1584113387,93,41.14,-73.36,55.99,16.6
Ladário,40,BR,1584113082,47,-19.0,-57.6,96.8,8.05
Chiredzi,31,ZW,1584113574,39,-21.05,31.67,88.97,6.04
Chililabombwe,100,ZM,1584113575,91,-12.36,27.82,72.95,2.8
Somerset,90,US,1584113575,93,40.57,-74.55,61.0,10.42
Esmeraldas,75,BR,1584113100,65,-19.76,-44.31,80.6,8.05
Kyakhta,100,RU,1584113575,87,50.35,106.45,18.77,5.06
Boa Vista,80,BR,1584113667,43,2.82,-60.67,89.6,12.75
Boende,92,CD,1584113575,57,-0.22,20.87,85.55,4.9
Vostok,65,RU,1584113225,94,46.49,135.88,-1.75,6.29
Jeremoabo,25,BR,1584113513,57,-10.07,-38.48,84.65,10.33
Sechura,23,PE,1584113667,81,-5.56,-80.82,76.01,6.33
Wentzville,75,US,1584113572,52,38.81,-90.85,43.0,8.05
Cloquet,90,US,1584113576,54,46.72,-92.46,28.4,21.92
Pativilca,46,PE,1584113576,82,-10.7,-77.78,73.67,9.66
San Mateo del Mar,0,MX,1584113577,77,16.2,-95.0,78.53,13.44
Birin,100,NP,1584113577,80,26.89,88.07,53.87,1.36
Lae,100,PG,1584113577,74,-6.72,146.98,67.91,5.03
Marzuq,59,YE,1584113070,40,14.4,46.47,72.77,13.24
Cabedelo,75,BR,1584113078,79,-6.98,-34.83,84.2,4.7
Jinji,100,CN,1584113578,84,23.23,110.83,68.81,5.66
Beloye,28,UA,1584113578,58,48.5,39.05,56.39,7.92
Tessalit,0,ML,1584113669,6,20.2,1.01,92.03,4.36
Biak,100,ID,1584113578,74,-0.91,122.88,83.21,10.92
Matara,12,LK,1584113578,79,5.95,80.54,78.71,6.76
Tumut,92,AU,1584113578,92,-35.3,148.22,57.11,3.71
Shelburne,90,CA,1584113543,64,44.08,-80.2,43.0,25.28
Sioux Lookout,90,CA,1584113579,78,50.1,-91.92,14.0,16.11
Roding,1,DE,1584113579,42,49.2,12.52,52.0,12.75
Grindavik,40,IS,1584113670,79,63.84,-22.43,30.2,19.46
Azuaga,12,ES,1584113579,49,38.27,-5.68,70.0,13.0
Stornoway,20,GB,1584113579,48,58.21,-6.39,44.6,12.75
Cockburn Town,0,TC,1584113670,79,21.46,-71.14,76.19,13.15
Irbeyskoye,90,RU,1584113579,86,55.64,95.45,28.85,4.63
Sitka,1,US,1584113551,67,57.05,-135.33,21.2,3.36
Lamu,100,KE,1584113580,76,-2.27,40.9,83.93,15.66
Umluj,0,SA,1584113580,40,25.02,37.27,65.75,5.68
Rosarito,75,MX,1584113472,77,32.33,-117.03,59.0,5.82
Saint Simons,1,US,1584113580,77,31.14,-81.39,73.0,8.05
Toora-Khem,0,RU,1584113672,93,52.47,96.11,15.17,2.84
Hambantota,0,LK,1584113581,78,6.12,81.12,80.6,5.82
Suzhou,75,CN,1584113461,76,31.31,120.62,53.01,13.42
Sakakah,20,SA,1584113581,10,29.97,40.21,77.0,33.33
Nushki,0,PK,1584113581,31,29.55,66.02,60.53,3.38
San Joaquin,73,VE,1584113581,85,10.26,-67.79,75.29,8.48
Olyka,40,UA,1584113581,75,50.72,25.81,42.8,15.66
Dingle,0,PH,1584113190,76,11.0,122.67,74.39,8.21
Kungurtug,8,RU,1584113582,87,50.6,97.52,10.31,4.14
Sept-Îles,90,CA,1584113259,61,50.2,-66.38,19.0,19.46
Broome,90,US,1584113582,87,42.25,-75.83,57.99,16.11
Gopālpur,0,IN,1584113582,78,19.27,84.92,77.99,5.68
Laguna de Perlas,20,NI,1584113583,83,12.34,-83.67,77.0,4.7
San Andrés,20,CO,1584113546,70,12.58,-81.7,84.2,11.41
Chake Chake,37,TZ,1584113583,73,-5.25,39.77,85.19,13.89
Yerbogachën,4,RU,1584113260,87,61.28,108.01,-9.49,2.75
Katesh,100,TZ,1584113583,85,-4.52,35.38,70.43,2.04
Sambava,100,MG,1584113234,99,-14.27,50.17,75.47,1.3
Puerto Escondido,5,MX,1584113404,69,15.85,-97.07,82.4,3.83
Imeni Poliny Osipenko,10,RU,1584113584,71,52.42,136.49,2.75,2.75
Faya,71,SA,1584113675,43,18.39,42.45,71.6,13.87
Oistins,40,BB,1584113403,58,13.07,-59.53,86.0,19.46
Lieksa,100,FI,1584113584,76,63.32,30.02,26.33,13.58
Bhadrāchalam,0,IN,1584113584,54,17.67,80.88,80.15,11.07
Inongo,100,CD,1584113675,54,-1.95,18.27,87.17,4.85
Soe,0,ID,1584113585,84,-9.86,124.28,74.21,3.62
Manta,40,EC,1584113585,83,-0.95,-80.73,82.4,5.82
Chumikan,96,RU,1584113585,71,54.72,135.31,8.33,18.05
Östersund,20,SE,1584113585,57,63.18,14.64,23.0,20.8
Port Huron,90,US,1584113565,48,42.97,-82.42,43.0,16.11
Andra,66,RU,1584113676,87,62.51,65.89,34.25,10.56
Ahipara,0,NZ,1584113209,78,-35.17,173.17,63.59,15.28
Luanda,40,AO,1584113586,70,-8.84,13.23,87.8,11.41
Auki,100,SB,1584113586,75,-8.77,160.7,83.75,15.41
Salalah,20,OM,1584113586,61,17.02,54.09,77.0,5.82
Kamina,84,CD,1584113586,89,-8.74,24.99,73.49,4.74
Shumskiy,100,RU,1584113586,91,54.83,99.13,27.95,1.43
Innisfail,71,AU,1584113587,91,-17.53,146.03,71.87,5.03
Nokaneng,80,BW,1584113587,44,-19.67,22.27,86.27,7.58
Pisco,19,PE,1584113587,30,-13.7,-76.22,75.99,5.82
Manoel Urbano,94,BR,1584113587,51,-8.84,-69.26,92.21,1.83
Tutóia,75,BR,1584113678,94,-2.76,-42.27,82.4,6.93
Villa Bruzual,16,VE,1584113587,36,9.33,-69.12,94.91,4.97
Tocopilla,97,CL,1584113588,34,-22.09,-70.2,74.75,4.14
Papara,75,BR,1584113588,83,-3.98,-38.73,80.6,10.29
Ariquemes,98,BR,1584113588,61,-9.91,-63.04,90.77,1.39
Pimentel,2,PE,1584113588,29,-6.84,-79.93,66.2,5.82
Los Llanos de Aridane,75,ES,1584113678,64,28.66,-17.92,69.8,13.87
Iracoubo,37,GF,1584113588,74,5.48,-53.2,80.33,15.41
Koshurnikovo,55,RU,1584113589,93,54.17,93.3,23.99,3.96
Nodeland,20,NO,1584113589,30,58.16,7.84,41.0,11.41
Saint-Pierre,40,RE,1584113236,74,-21.34,55.48,80.6,17.22
Maple Creek,100,CA,1584113589,58,49.92,-109.48,13.73,14.9
Alvorada,69,BR,1584113589,58,-12.48,-49.12,88.07,2.8
Kieta,23,PG,1584113589,80,-6.22,155.63,82.85,16.64
Calama,97,CL,1584113550,30,-22.47,-68.93,71.6,8.05
Muravlenko,100,RU,1584113590,99,63.79,74.52,34.61,24.63
Beringovskiy,100,RU,1584113590,83,63.05,179.32,27.77,14.9
Corner Brook,75,CA,1584113590,38,48.97,-57.95,24.8,12.75
Khandyga,39,RU,1584113680,98,62.67,135.6,-26.23,1.05
Gushikawa,90,JP,1584113186,93,26.35,127.87,64.4,3.36
Huangcun,99,CN,1584113591,94,30.01,118.4,49.73,3.27
Castle Rock,90,US,1584113371,80,39.37,-104.86,36.0,12.75
Noumea,100,NC,1584113500,94,-22.28,166.46,82.0,2.24
Boulder,90,US,1584113354,83,40.08,-105.35,37.99,3.56
Yulara,0,AU,1584113562,16,-25.24,130.99,86.0,10.29
Vilhena,100,BR,1584113403,63,-12.74,-60.15,85.01,3.71
Ostrovnoy,100,RU,1584113592,97,68.05,39.51,28.13,10.78
Lloydminster,75,CA,1584113406,64,53.28,-110.0,-2.2,14.99
Antigonish,75,CA,1584113406,58,45.62,-62.0,35.01,11.41
Seddon,90,AU,1584113592,50,-37.81,144.89,57.99,17.22
South Lyon,1,US,1584113593,38,42.46,-83.65,43.0,21.92
Azanka,84,RU,1584113593,93,58.04,64.79,36.41,11.43
Asău,40,RO,1584113593,55,46.43,26.4,62.6,8.05
Neftegorsk,100,RU,1584113593,77,52.8,51.17,47.39,19.01
Catuday,0,PH,1584113267,79,16.29,119.81,81.23,13.15
Bāgepalli,20,IN,1584113593,34,13.78,77.79,80.6,8.05
Rocha,0,UY,1584113485,34,-34.48,-54.33,86.45,10.71
Sabzawār,67,IR,1584113593,32,36.21,57.68,59.99,2.15
Fallon,40,US,1584113594,34,39.47,-118.78,39.0,10.29
Koslan,100,RU,1584113594,99,63.46,48.9,31.55,2.98
Ranong,76,TH,1584113232,73,9.97,98.63,81.77,7.65
